moniker,chain,voting_power,jailed_until,operator_address,validator_address,valcons,Pubkey
polkachu.com,AKASH,1062534,1970-01-01T00:00:00Z,akashvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pz5w0ry,59835DCBB6CE79F1D12B86702E8690E5F5C514E5,akashvalcons1txp4mjakeeulr5ftseczap5suh6u2989ecffry,4uixnZASy9mwDpvb0xlepRB9cw1b6563ce+vTgs6He4=
StakeSeeker by BTCS,AKASH,103710,2022-11-10T08:03:15.322988265Z,akashvaloper1g9kggelx2h05lrmrla44dye59a77t4axqzlufy,6F23AF09898A93352392CD0977BD5BE5C74EF709,akashvalcons1du367zvf32fn2guje5yh002muhr5aacfv8t82k,WuV3OSj+0Qy/b01fgNZTNQG2ZzaGSjtQ6WxYAhOJsgg=
Stakin,AKASH,471749,1970-01-01T00:00:00Z,akashvaloper12fnzqmnja37mf2y9m6r3dleq5n3jkz7pfkpzmy,57F61959FF8A08562BB0ABA4921C5EF1B307DC63,akashvalcons12lmpjk0l3gy9v2as4wjfy8z77xes0hrrey2gh0,9dGOfVLgUQDVXi9f0KqfqLpxDwgB1/YFmFuXMgY7HFg=
StakeLab,AKASH,308466,1970-01-01T00:00:00Z,akashvaloper1dgxdep80th2qm8xxk8h3j3g93npsd3a8jg60gz,5E56A5D935A9529B8999E1291C64B0BA3F9FD663,akashvalcons1tet2tkf449ffhzveuy53ce9shglel4nrr2c2tt,CJg/u5xO65AK0YAVjKdyQqKQY2aa4aSjJkFXLd/ag8k=
AutoStake 🛡️ Slash Protected,AKASH,753266,1970-01-01T00:00:00Z,akashvaloper1strxz39h5fapp7zvn5mvf8xm0ea9aajqjstv6g,2D9790447341F3371AD11B4B706332313CCE33C3,akashvalcons19kteq3rng8enwxk3rd9hqcejxy7vuv7ry5u90n,2Se5prZ7NSucV0fGWVdmwa0lx3CNBCZKoX48WA/Ziyc=
Stakewolle.com | Auto-compound,AKASH,1031863,1970-01-01T00:00:00Z,akashvaloper1ksu368eh54vcqzruqk42dsnx88hvk8px09ws7q,2640A32BF68B7F9723E001C2E4B4E32E00B94679,akashvalcons1yeq2x2lk3dlewglqq8pwfd8r9cqtj3ne6vlsjh,nl0ioHLiMr9cJ33/oXDryA20nVSWwLY4tq8sAeqZPAw=
StakeWithUs,AKASH,253586,1970-01-01T00:00:00Z,akashvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvp4sl2q,DA250934D695A5A2457708F417F688FF8D9CC326,akashvalcons1mgjsjdxkjkj6y3thpr6p0a5gl7xeesex80hrm6,pbyNZ89ZX+jVdiV6l9ODLfn8SAIWp99JM2b5L4c2oO0=
Chorus One,AKASH,108087,1970-01-01T00:00:00Z,akashvaloper16pj5gljqnqs0ajxakccfjhu05yczp987ptmjx9,FAD3DE3292C242997BF4000AF8FFD4551272EB62,akashvalcons1ltfauv5jcfpfj7l5qq903l7525f896mz7cu4nv,cCSXTbLqw6bTsRBqy1KzniFQbH4myfWmH6hqRehs6DI=
"Stake Frites (🥩,🍟)",AKASH,432896,1970-01-01T00:00:00Z,akashvaloper1uepjmgfuk6rnd0djsglu88w7d0t49lmlsqkfuf,FD1DF5C5F5EA867FB21AA05C00926FABD2639E16,akashvalcons1l5wlt304a2r8lvs65pwqpyn040fx88ska6x4vu,27DlsgFt11+HH/ZPTI1HL8DaQolpD1FfXxc6uoiSqzU=
Citadel.one,AKASH,2798653,1970-01-01T00:00:00Z,akashvaloper1a4zxtnu9k0zpl6p5hmduc5zz7xrm2dz8vm2ey8,0218A7A051C04FEC85B4F92BFB00A8C4DA1A9BD5,akashvalcons1qgv20gz3cp87epd5ly4lkq9gcndp4x746zunr5,PZTcuU6NFWMOGTSuT6C7ZE+WK/yBudm+NoiCwQF/mD4=
