chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
AKASH,83,253586778980,1970-01-01T00:00:00Z,StakeWithUs,akashvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvp4sl2q,DA250934D695A5A2457708F417F688FF8D9CC326
AKASH,79,308466251669,1970-01-01T00:00:00Z,StakeLab,akashvaloper1dgxdep80th2qm8xxk8h3j3g93npsd3a8jg60gz,5E56A5D935A9529B8999E1291C64B0BA3F9FD663
AKASH,29,1062534477001,1970-01-01T00:00:00Z,polkachu.com,akashvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pz5w0ry,59835DCBB6CE79F1D12B86702E8690E5F5C514E5
AKASH,13,2798653658912,1970-01-01T00:00:00Z,Citadel.one,akashvaloper1a4zxtnu9k0zpl6p5hmduc5zz7xrm2dz8vm2ey8,0218A7A051C04FEC85B4F92BFB00A8C4DA1A9BD5
AKASH,94,108087497356,1970-01-01T00:00:00Z,Chorus One,akashvaloper16pj5gljqnqs0ajxakccfjhu05yczp987ptmjx9,FAD3DE3292C242997BF4000AF8FFD4551272EB62
AKASH,55,753266208947,1970-01-01T00:00:00Z,AutoStake 🛡️ Slash Protected,akashvaloper1strxz39h5fapp7zvn5mvf8xm0ea9aajqjstv6g,2D9790447341F3371AD11B4B706332313CCE33C3
AKASH,67,471749628961,1970-01-01T00:00:00Z,Stakin,akashvaloper12fnzqmnja37mf2y9m6r3dleq5n3jkz7pfkpzmy,57F61959FF8A08562BB0ABA4921C5EF1B307DC63
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
ASSETMANTLE,11,8019937634732,1970-01-01T00:00:00Z,Citadel.one,mantlevaloper1y4ycv888ja5ya8qtw8mqe2l0fvt9amlfj9068h,02039198B6BD3B77CD478AFB558F0FF5A3B3F39D
ASSETMANTLE,61,396905392441,1970-01-01T00:00:00Z,polkachu.com,mantlevaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pmkjlwt,63B1E9B9E3354CC297F2DC6A378D243689528707
ASSETMANTLE,7,8697115219133,1970-01-01T00:00:00Z,StakeLab,mantlevaloper1uy0q4859hw5f90peraexmdanyrt8tazz7vheg9,725CD7BD92A6E2817225D6CD16BF29AD50C541A7
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
AXELAR,28,7908798097576,1970-01-01T00:00:00Z,Citadel.one,axelarvaloper17q4fqv86dxkes384tnmrvjr9ljp2slunr6k00w,7EC661F40BEFD355FEF828AF6462E574F4759D0B
AXELAR,56,4793434443,1970-01-01T00:00:00Z,BlockHunters 🎯,axelarvaloper1f9laxzwy8u73jlutkg6qrj7yzkkwcjhvw6cf2v,3BA11DF542DEB37269F6604917FE91D35078E974
AXELAR,15,11015948329047,1970-01-01T00:00:00Z,Chorus One,axelarvaloper16pj5gljqnqs0ajxakccfjhu05yczp987zac7km,0B7EA0F411F506695D41F188343B3FB5F4CF789C
AXELAR,25,8828783893193,1970-01-01T00:00:00Z,Stakin,axelarvaloper1uf7s2v44qqpe9lpnsjy6cfjueqytakuzayfg0h,3F9F551064F148AF6615C892C8E9E76262A9ED61
AXELAR,44,2033753037145,1970-01-01T00:00:00Z,polkachu.com,axelarvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4ppzdrn6,8C5872749B2182B1832D3EAE57EDFAC01104B240
AXELAR,49,243532507785,1970-01-01T00:00:00Z,StakeLab,axelarvaloper19dx6vywgr62jtsxhhlhlgh7ug5vmgjnz6dkeud,4338C4CDE85BFCF4F04E2ECBCBF7007DD93185FA
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
BITCANNA,69,65049899362,1970-01-01T00:00:00Z,Oldcat,bcnavaloper1s43h79qx6j85whr2p6060wvxjuyq9yqdak39dj,C842EF3F1B01217D5F842C32BD65C04F5C8A2F29
