chain,moniker,valcons,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
AKASH,,akashvalcons1qyzwxjr076svz2zq4vjsvjm9eya7gqkpx0nlgx,4121090,2,2022-01-02T12:54:52.110894838Z,False,2
AKASH,,akashvalcons1qgv20gz3cp87epd5ly4lkq9gcndp4x746zunr5,1591908,6903124,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1qwhyn2prr69q2z0ymcm0c05htrml3k6fcwssre,0,2,2021-06-30T21:21:23.081714560Z,False,2
AKASH,,akashvalcons1q3xgac5h68qm9d9dlr6muqqnhsashjvv2n7ylu,5733288,297822,1970-01-01T00:00:00Z,False,1
AKASH,,akashvalcons1q4ykxwklph27j8k823vvhmkrttjrxxk3cyj9qw,3324137,5170895,1970-01-01T00:00:00Z,False,1
AKASH,,akashvalcons1q6ywjw5khvezus9z93w856k6zghspvtfc5q34d,0,2,2020-12-23T19:38:57.373568894Z,False,2
AKASH,,akashvalcons1q6wqtme839hwtfcxcyeqhvzwagz4nre5ff587x,0,166659,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1qum2ylzzka6cwyu8addcperj068zw8fxqj0qxf,0,7022072,2021-03-31T09:25:46.327057394Z,False,7730
AKASH,UbikCapital,akashvalcons1pqy2fz5nlwjy59cznstmz6k4evwven7wu4x06u,0,10635763,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1pp3wuaqrlqyw25xht8e947tajypr3dzck87xjh,0,2,2022-04-28T01:21:35.381159444Z,False,2
AKASH,,akashvalcons1p942dsu4hlwz3wyvwmzs5yh3apcpd3lljv7ch5,4127072,4269817,1970-01-01T00:00:00Z,False,30
AKASH,Psycho Node,akashvalcons1pf07pjzznxxkrhm3u5vs9qqglux305ny8nsl6e,0,1032315,2022-09-03T04:18:07.730272587Z,False,0
AKASH,Bit Cat,akashvalcons1p279qje0gwml0j8np0u7gvn58g300dxy4dn0lr,0,10778058,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1p0y3utrv3f7y890756h65dr2695ad2ltsj83dx,0,1330520,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1p3c5ueagxfe78slrtvtu4rhpgp2355mq7p36xx,5838029,1976032,2022-06-27T07:05:48.618023741Z,False,2
AKASH,,akashvalcons1p4athj47l4vrrcma93qaxhrhkzxl9jh68jn40k,2046206,2,2022-06-26T15:11:03.392657529Z,False,2
AKASH,,akashvalcons1ztllyqpxzmeuf76mzg45hjmzxlrphv9x57aufa,4133423,7330,1970-01-01T00:00:00Z,False,1
AKASH,kooltek68,akashvalcons1zwjklfh3rtd29vyajljhkd38wvvlyt0symdflg,6372596,2067986,1970-01-01T00:00:00Z,False,9
AKASH,,akashvalcons1z6uwyv9dyjvw9jp3w92k3elg6ctepspqessx34,2261468,1821906,1970-01-01T00:00:00Z,False,0
AKASH,,akashvalcons1zunn80vdanwdvkds4ff2022ny68np0kua0vncl,0,2,2021-09-05T03:52:01.555281202Z,False,2
AKASH,,akashvalcons1zaqa09u9uh62xusjqz29a0x8ptta5wr98yg7k7,0,2928668,1970-01-01T00:00:00Z,False,0
AKASH,AGE Network,akashvalcons1rptxshdc4seuk2dek8f4cq60zeg36jzs6ftaee,0,10778058,1970-01-01T00:00:00Z,False,1
AKASH,,akashvalcons1rsnfhxs9cpslkxcjw7kq7fk4mqglmeysf3q9j0,0,1643816,1970-01-01T00:00:00Z,False,0
