chain,moniker,valcons,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
AKASH,,akashvalcons1qyzwxjr076svz2zq4vjsvjm9eya7gqkpx0nlgx,4121090,2,2022-01-02T12:54:52.110894838Z,False,2
AKASH,,akashvalcons1qwhyn2prr69q2z0ymcm0c05htrml3k6fcwssre,0,2,2021-06-30T21:21:23.081714560Z,False,2
AKASH,,akashvalcons1q6ywjw5khvezus9z93w856k6zghspvtfc5q34d,0,2,2020-12-23T19:38:57.373568894Z,False,2
AKASH,,akashvalcons1qum2ylzzka6cwyu8addcperj068zw8fxqj0qxf,0,7022072,2021-03-31T09:25:46.327057394Z,False,7730
AKASH,,akashvalcons1pp3wuaqrlqyw25xht8e947tajypr3dzck87xjh,0,2,2022-04-28T01:21:35.381159444Z,False,2
AKASH,Psycho Node,akashvalcons1pf07pjzznxxkrhm3u5vs9qqglux305ny8nsl6e,0,1032315,2022-09-03T04:18:07.730272587Z,False,0
AKASH,,akashvalcons1p3c5ueagxfe78slrtvtu4rhpgp2355mq7p36xx,5838029,1976032,2022-06-27T07:05:48.618023741Z,False,2
AKASH,,akashvalcons1p4athj47l4vrrcma93qaxhrhkzxl9jh68jn40k,2046206,2,2022-06-26T15:11:03.392657529Z,False,2
AKASH,,akashvalcons1zunn80vdanwdvkds4ff2022ny68np0kua0vncl,0,2,2021-09-05T03:52:01.555281202Z,False,2
AKASH,,akashvalcons1rkq0mpzc3p2qa3zql7z9pnpeh2s82zne7h0swd,0,2,2022-04-28T08:42:19.078754007Z,False,2
AKASH,,akashvalcons1yzad678dw73gzl332zkq2j5hgymgkphuxpms7r,0,2,2022-11-03T08:17:35.230717449Z,False,2
AKASH,,akashvalcons19qe5lxr59sgm300cyw29zsw9egrnm82el6yhv0,5648570,2,2022-04-29T09:29:36.070693989Z,False,2
AKASH,,akashvalcons19zh704pzz3kw3kyc6vyej6ka3dd2kw4y8jr6um,0,8027320,2021-04-10T21:57:06.078513419Z,False,0
AKASH,gunray,akashvalcons199fxz8fakr2h40mwracltytujdsayv4p98w3ph,0,1488477,2022-07-19T22:28:45.336050633Z,False,0
AKASH,,akashvalcons19lm85pf5yjnulkz263se2atngjas8vdhruy2vy,0,2,2022-04-28T01:20:44.455886866Z,False,2
AKASH,,akashvalcons1x9azn9tpqjwu6426nmnew8latl8yxr3xnag7uw,4130593,5622,2022-01-03T06:09:20.825593079Z,False,3
AKASH,DLINODES.COM,akashvalcons183f95npe9fc5ln4z9kfgxaqvxctsen7r0k20cl,3676117,1256780,2022-07-30T09:24:55.060456635Z,False,0
AKASH,,akashvalcons1877dwn78vza7tcywdqy3pse5mk9ft5qcffaj7h,69797,2,2022-08-04T01:36:10.653989410Z,False,2
AKASH,,akashvalcons1g76q4dkkftd46zvdtlttq7mekura83nafrrjty,0,2,2022-11-08T14:44:20.449920882Z,False,2
AKASH,,akashvalcons1fg99j96td9cu58uhwsdlte70nsplfrld07x9jw,4131091,2,2022-01-03T07:03:36.484867488Z,False,2
AKASH,,akashvalcons1tyeuczldx2z76hfldxnxxrehahqk5lp3qtew06,0,2,2022-01-02T10:43:50.681812761Z,False,2
AKASH,,akashvalcons1t5r5jqsa5qz7qhc94n3gduddj6epjxxrgytveh,0,2,2021-09-13T06:25:25.930553884Z,False,2
AKASH,,akashvalcons1thnje0uza7fwzpp0p4w4939ffw3kdt0ur5nk5e,2308138,578294,2022-09-30T17:17:08.867056339Z,False,1
AKASH,,akashvalcons1teqgnjpkegakcq092l5ur6r7ajvsq3ruxr9ssh,0,411457,2021-07-19T20:14:25.825468270Z,False,46
AKASH,,akashvalcons1vf5r5aj82w0xr5qpsehdk8ahz5hp77trh9uw58,2664249,2174965,2022-06-09T22:56:31.237047332Z,False,0
AKASH,,akashvalcons1d565vu7mydtxs0rl43sewe5tudkg8k4lnr5g3d,0,8484419,2021-03-09T10:10:59.562500193Z,False,1
AKASH,StakeSeeker by,akashvalcons1du367zvf32fn2guje5yh002muhr5aacfv8t82k,6912044,65990,2022-11-10T08:03:15.322988265Z,False,1
AKASH,NosNode,akashvalcons1wtujl46hyap3r9x8z2d7ysg6jzf7d4tu4ens5f,4141979,4335558,2022-01-04T11:47:59.905961969Z,False,968
AKASH,,akashvalcons1wujd20ysdw36m6kf89ckgjx43xygpnmy9tr33c,0,2,2022-07-24T03:11:19.770201270Z,False,2
AKASH,Ping,akashvalcons10pxdqwunt37rua2pnv0ntv5ruql65lqvn7t468,0,4636108,2021-12-08T00:15:48.338503551Z,False,0
AKASH,,akashvalcons1sykuf0t8zawzcjn55yayc6vsleqsx7jmxxd3yq,0,9837382,2020-12-02T03:04:16.466789327Z,False,11
AKASH,,akashvalcons1s2f3j9w309hakmmjx76cv9mkywm5lu9yf4jeze,0,4112479,2021-09-13T02:10:07.435112927Z,False,27
AKASH,,akashvalcons13xxl0wa3ch4c4z37eds304nzwkazxsanrq3ktd,0,8229985,2021-03-27T13:50:43.077353503Z,False,0
AKASH,,akashvalcons1385jtn98s9jx0v629thez2fdzw9sknf2h9jqlz,3798527,3052432,2022-04-11T16:10:54.613621395Z,False,1
